"","ObjectID","full_addr","County"
"1762136",1762136,"N1020 WHITNEY ST, DALE WI 54931","Outagamie County"
"1762590",1762590,"5000 W NATIONAL AVE APT 9518-2, MILWAUKEE WI 53295-0001","Milwaukee County"
"1762901",1762901,"W8316 W8316 STATE ROAD 16 & 60, WATERTOWN WI 53098","Dodge County"
"1763030",1763030,"516 HUMBOLDT ST APT, WATERTOWN WI 54444","Jefferson County"
"1763299",1763299,"211 QUAIL CIR, NEWBURG WI 53060","Washington County"
"1763681",1763681,"6845 BRIDGE RD, MC NAUGHTON WI 54543","Oneida County"
"1763943",1763943,"13130 CHURCH ST APT 20, PIGEON FALLS WI 54760","Trempealeau County"
"1764156",1764156,"1 ST CROIX LOFTS DR UNIT 303, ST CROIX FLS WI 54444","Polk County"
"1764735",1764735,"220 SKYLINE DRIVE, FRANCIS CREEK WI 54214","Manitowoc County"
"1765685",1765685,"204 S 5TH AVE, ST NAZIANZ WI 54232","Manitowoc County"
"1767022",1767022,"1 MAPLE TERRACE CT LOT 69, ST NAZIANZ WI 54232","Manitowoc County"
"1767343",1767343,"W9764 STATE ROAD 96, DALE WI 54931","Outagamie County"
"1767807",1767807,"225 W MAIN ST, DICKEYVILLE WI 53808-9700","Grant County"
"1767838",1767838,"N2665 COUNTY ROAD QQ SH219A, KING WI 54946-0600","Waupaca County"
"1768115",1768115,"309 W MAIN ST, HUSTLER WI 54637-1310","Juneau County"
"1768116",1768116,"73184 MAPLE ST, ODANAH WI 54861","Ashland County"
"1768274",1768274,"300 E MAIN ST LOT 55, SAINT NAZIANZ WI 54232","Manitowoc County"
"1768407",1768407," NO ADDRESS GIVEN, MILWAUKEE WI","Milwaukee County"
"1768741",1768741,"N2665 COUNTY ROAD QQ UNIT OH442, KING WI 54946-0600","Waupaca County"
"1768887",1768887,"307 SOUTH ST, HUSTLER WI 54637-6302","Juneau County"
"1768927",1768927,"28833 CHARLOTTE ST, GOTHAM WI 53540","Richland County"
"1769381",1769381,"303 W MAIN ST, ST NAZIANZ WI 54232","Manitowoc County"
"1769746",1769746,"E9057 COUNTY ROAD H, READFIELD WI 54969","Waupaca County"
"1771346",1771346,"330 W MAIN ST, DICKEYVILLE WI 53808","Grant County"
"1772397",1772397,"E14485 STATE ROAD 33, PORTAGE WI 54444","Sauk County"
"1772626",1772626,"129 GILBERT ST 14, FOOTVILLE WI 53537","Rock County"
"1772740",1772740,"73367 MAPLE ST, ODANAH WI 54861","Ashland County"
"1772768",1772768,"131 E ADAMS ST 1B, LAKE DELTON WI 53940","Sauk County"
"1772853",1772853,"663 COUNTY ROAD A 50, LAKE DELTON WI 53940","Sauk County"
"1773005",1773005,"W9287 EMBERSON LN, BLANCHARDVLLE WI 54444-____","Green County"
"1773427",1773427,"1616 E BRADY ST 1, MILWAUKEE WI 54444","Milwaukee County"
"1773755",1773755,"521 S 6TH ST APT C#18, DE PERE WI 54115-1217","Brown County"
"1774602",1774602,"72982 MAPLE ST, ODANAH WI 54861","Ashland County"
"1774827",1774827,"W9683 DEGAL AVE, DALE WI 54931","Outagamie County"
"1774918",1774918,"W9730 HIGH ST, DALE WI 54931","Outagamie County"
"1775195",1775195," FIREBREAK RD, ODANAH WI 54861","Ashland County"
"1775797",1775797,"190 FIELDSTONE DR APT 1404, LAKE DELTON WI 53940","Sauk County"
"1776023",1776023,"212 XANADU RD APT 508, LAKE DELTON WI 53940","Sauk County"
"1776916",1776916,"114 2ND ST, FRIESLAND WI 53935-9724","Columbia County"
"1777727",1777727,"906 KRONENWETTER DR, MOSINEE WI 99999","Marathon County"
"1778363",1778363,"5000 W NATIONAL AVE B11, MILWAUKEE WI 53295-0001","Milwaukee County"
"1778583",1778583,"10720 MAIN ST, WOODFORD WI 53599","Lafayette County"
"1779059",1779059,"5000 W NATIONAL AVE MB63, MILWAUKEE WI 53295-0001","Milwaukee County"
"1779228",1779228,"5000 W NATIONAL AVE 113, MILWAUKEE WI 53295-0001","Milwaukee County"
"1779313",1779313,"301 RIVERDALE CT, POTTER WI 54160","Calumet County"
"1779514",1779514,"2736 FENCELINE RD, MOUNT PLEASANT WI 99999","Racine County"
"1779735",1779735,"6707 26TH AVE LOWR, KENOSHA WI 99999","Kenosha County"
"1779819",1779819,"N1690 WEST ST, LEBANON WI 53047","Dodge County"
"1780240",1780240,"5000 W NATIONAL AVE A118, MILWAUKEE WI 53295-0001","Milwaukee County"
"1780338",1780338,"5000 W NATIONAL AVE 131C, MILWAUKEE WI 53295-0001","Milwaukee County"
"1780400",1780400,"5000 W NATIONAL AVE A130, MILWAUKEE WI 53295-0001","Milwaukee County"
"1780805",1780805,"115 FOREST DR APT 1009, LAKE DELTON WI 53940","Sauk County"
"1780884",1780884,"312 REDWOOD CT, FRANCIS CREEK WI 54214","Manitowoc County"
"1781538",1781538,"N815 DEPOT RD, DALE WI 54931","Outagamie County"
"1781937",1781937,"2550 HIDDEN CIR APT 4, ROCHESTER WI 53167","Racine County"
"1782198",1782198,"W2377 US HIGHWAY 10 LOT 49, FOREST JUNCTION WI 54123-9704","Calumet County"
"1782279",1782279,"N8782 RANDOLPH ST, FOREST JUNCTION WI 54123","Calumet County"
"1782288",1782288,"N8861 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"1782377",1782377,"1520 MADISON ST UNIT 1&2, MADISON WI 53711-2260","Dane County"
"1784370",1784370,"700 QUARTZ AVE LOT 4, MATTOON WI 54450","Shawano County"
"1784879",1784879,"5305 W FOREST HOME AVE MISMATCH APT F, MILWAUKEE WI 99999","Milwaukee County"
"1785463",1785463,", WEST ALLIS WI","Milwaukee County"
"1785496",1785496,"21024 MAIN ST, COLLINS WI 54207","Manitowoc County"
"1785667",1785667,"904 KRONENWETTER DR, MOSINEE WI 99999","Marathon County"
"1785962",1785962,"781 COUNTY ROAD A 305, LAKE DELTON WI 53940","Sauk County"
"1786094",1786094,"N2665 COUNTY ROAD QQ UNIT SH449A, KING WI 54946-0600","Waupaca County"
"1786583",1786583,"N2665 COUNTY ROAD QQ SH380, KING WI 54946-0600","Waupaca County"
"1787064",1787064,"203 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"1787480",1787480,"N928 MAPLE LN, DALE WI 54931","Outagamie County"
"1787532",1787532,"2 OSHKOSH ST 1, GILE WI 54525-9713","Iron County"
"1787797",1787797,"330 DENA DRIVE, NEENAH WI 54956-____","Winnebago County"
"1789073",1789073,"N2665 COUNTY ROAD QQ SH555, KING WI 54946-0600","Waupaca County"
"1789673",1789673,"111 WISCONSIN DELLS PKWY 9, LAKE DELTON WI 53940","Sauk County"
"1790460",1790460,"1197 BUNKER RD A, LAKE DELTON WI 53940","Sauk County"
"1790813",1790813,"3618 WALNUT CT, KIELER WI 53812","Grant County"
"1790851",1790851,"4710 COUNTY ROAD DM, MORRISONVILLE WI 53571","Dane County"
"1790947",1790947,"260 BUNKER RD, LAKE DELTON WI 53940","Sauk County"
"1791044",1791044,"N2665 COUNTY ROAD QQ UNIT OH276A, KING WI 54946-0600","Waupaca County"
"1791195",1791195,"N2665 COUNTY ROAD QQ UNIT SH303, KING WI 54946-0600","Waupaca County"
"1791204",1791204,"N2665 COUNTY ROAD QQ UNIT OH205, KING WI 54946-0600","Waupaca County"
"1791213",1791213,"N2665 COUNTY ROAD QQ AH326, KING WI 54946-0600","Waupaca County"
"1791235",1791235,"N2665 COUNTY ROAD QQ AH242, KING WI 54946-0600","Waupaca County"
"1791266",1791266,"N2665 COUNTY ROAD QQ MH368, KING WI 54946","Waupaca County"
"1791267",1791267,"N2665 COUNTY ROAD QQ MH1922, KING WI 54946-0600","Waupaca County"
"1791308",1791308,"N2665 COUNTY ROAD QQ UNIT AH421, KING WI 54946-0600","Waupaca County"
"1791406",1791406,"N2665 COUNTY ROAD QQ UNIT MH329A, KING WI 54946-0600","Waupaca County"
"1791454",1791454,"N2665 COUNTY ROAD QQ AH222, KING WI 54946-0600","Waupaca County"
"1791587",1791587,"N2665 COUNTY ROAD QQ UNIT AH418, KING WI 54946-0600","Waupaca County"
"1791599",1791599,"N2665 COUNTY ROAD QQ UNIT MH227, KING WI 54946-0600","Waupaca County"
"1791685",1791685,"N2665 COUNTY ROAD QQ UNIT MH318, KING WI 54946-0600","Waupaca County"
"1791691",1791691,"N2665 COUNTY ROAD QQ UNIT MH281, KING WI 54946-0600","Waupaca County"
"1791996",1791996,"35510 RAVINE DR, ROCHESTER WI 53167","Racine County"
"1792161",1792161,"N2665 COUNTY ROAD QQ UNIT SH402, KING WI 54946-0600","Waupaca County"
"1792382",1792382,"N2665 COUNTY ROAD QQ UNIT MH338, KING WI 54946-0600","Waupaca County"
"1793089",1793089,"303 OAK ST, BLK RIVER FLS WI 54444","Jackson County"
"1793637",1793637,"N581 ZENDA ROAD, ZENDA WI 53195","Walworth County"
"1795006",1795006,"53 PENNSYLVANIA AVE, GILE WI 54525-9702","Iron County"
"1795859",1795859,"N581 PLEASANT STREET, ZENDA WI 53195","Walworth County"
"1796119",1796119,"108 RED OAK DR, LAKE DELTON WI 53940","Sauk County"
"1796479",1796479,"65 BUNKER RD, LAKE DELTON WI 53940","Sauk County"
"1797402",1797402,"S42W31260 HWY 83, GENESEE DEPOT WI 53127","Waukesha County"
"1797787",1797787,"25 PENCE ST APT 10, GILE WI 54525-9725","Iron County"
"1797904",1797904,"7 OSHKOSH ST, GILE WI 54525-9713","Iron County"
"1798149",1798149,"231 N BURRITT AVE 10, LAKE DELTON WI 53940","Sauk County"
"1798284",1798284,"N595 PLEASANT ST, ZENDA WI 53195","Walworth County"
"1798521",1798521,"227 SKYLINE DR, FRANCIS CREEK WI 54214","Manitowoc County"
"1798575",1798575,"829 BUTLER AVE, WINNEBAGO WI 54985","Winnebago County"
"1799441",1799441,"8878 N 95TH ST APT B, MILWAUKEE WI 54444-____","Milwaukee County"
"1799476",1799476,"39945 WINSAND DR, PIGEON FALLS WI 54760","Trempealeau County"
"1800103",1800103,"9241 N 75TH ST APT A, MILWAUKEE WI 54444-____","Milwaukee County"
"1800323",1800323,"8762 ANN ST, EUREKA WI 54934-9706","Winnebago County"
"1800608",1800608,"160 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"1800611",1800611,"8772 COUNTY ROAD K, EUREKA WI 54934-9705","Winnebago County"
"1800787",1800787,"3729 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"1800910",1800910,"445 W MAIN ST, DICKEYVILLE WI 53808-6874","Grant County"
"1801253",1801253,"3407 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"1801871",1801871,"2586 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"1801873",1801873,"3625 W SECOND ST, AFTON WI 53501","Rock County"
"1802366",1802366,"114 S 7TH AVE, ST NAZIANZ WI 54232","Manitowoc County"
"1802503",1802503,"320 ROSALYN ST, DICKEYVILLE WI 53808-6862","Grant County"
"1802817",1802817,"1813 E COUNTY ROAD BB, TISCH MILLS WI 54240","Manitowoc County"
"1803430",1803430,"5924 CRESTVIEW DR, BUTTE DES MORTS WI 54927","Winnebago County"
"1804494",1804494,"480 SKARE RD APT 1, WYOCENA WI 53969","Columbia County"
"1804724",1804724,"N2665 COUNTY ROAD QQ OH338, KING WI 54946-0600","Waupaca County"
"1804762",1804762,"4023 N   48TH ST APT A, MILWAUKEE WI 54444-____","Milwaukee County"
"1805038",1805038,"N3307 NICHOLS RD, BLACK RIVER FALLS WI 99999","Jackson County"
"1805505",1805505,"1721 E COUNTY ROAD BB, TISCH MILLS WI 54240","Manitowoc County"
"1805785",1805785,"305 N Main Street, MOUNT STERLING WI 54645","Crawford County"
"1806721",1806721,"W5516 COUNTY ROAD F, NICHOLS WI 54152","Outagamie County"
"1806876",1806876,"233 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"1807457",1807457,"105 FRENCH CREEK RD, FRANCIS CREEK WI 54214","Manitowoc County"
"1809302",1809302,"N5707 RAILWAY AVE, GREEN VALLEY WI 54127-9407","Shawano County"
"1809359",1809359,"447 PARK ST, DICKEYVILLE WI 53808","Grant County"
"1809602",1809602,"W7695 STATE HWY 64/107, MERRILL WI 99999","Lincoln County"
"1810288",1810288,"5306 S MADISON ST, AFTON WI 53501","Rock County"
"1810497",1810497,"N62W23404 SLVR SPRG DR APT 208, SUSSEX WI 99999","Waukesha County"
"1810512",1810512,"500 MAIN ST APT 5, CLYMAN WI 53016","Dodge County"
"1810631",1810631,"506 MAIN ST APT 7, CLYMAN WI 53016","Dodge County"
"1810732",1810732,"506 MAIN ST APT 3, CLYMAN WI 53016","Dodge County"
"1810794",1810794,"6760 S COUNTY ROAD E, HAWTHORNE WI 54842","Douglas County"
"1811350",1811350,"7240 S WISCONSIN AVE APT 3, HAWTHORNE WI 54842","Douglas County"
"1811881",1811881,"6061 S COUNTY ROAD E, HAWTHORNE WI 54842","Douglas County"
"1812863",1812863,"N2665 COUNTY ROAD QQ UNIT MH364, KING WI 54946-0600","Waupaca County"
"1813736",1813736,"514 W GILMAN ST UNIT 203, MADISON WI","Dane County"
"1813971",1813971,"N15699 EVERGREEN RD, PARK FALLS WI 99999","Price County"
"1815442",1815442,"3894 STAR LAKE RD, STAR LAKE WI 54561","Vilas County"
"1817446",1817446,"5000 W NATIONAL AVE 9AN, MILWAUKEE WI 53295-0001","Milwaukee County"
"1817678",1817678,"2622 W SUNNYVIEW CIR, GRAND CHUTE WI 99999","Outagamie County"
"1817829",1817829,"N1448 ST HWY 47, NEOPIT WI 54444-____","Menominee County"
"1818043",1818043,"N1741 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1818417",1818417,"4023 W HAMPTON AVE A, MILWAUKEE WI 54444","Milwaukee County"
"1819200",1819200,"220 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"1819319",1819319,"W307S4697 HIGHWAY 83, GENESEE DEPOT WI 53127","Waukesha County"
"1819958",1819958,"S748 COON BLUFF ROAD, REEDSBURG WI 99999","Sauk County"
"1820056",1820056,"N2665 COUNTY ROAD QQ UNIT OH216B, KING WI 54946","Waupaca County"
"1820301",1820301,"32786 1ST ST N, GOTHAM WI 53540","Richland County"
"1820360",1820360,"100 ELM ST, FAIRWATER WI 53931-9715","Fond du Lac County"
"1821747",1821747,"307 DIAGONAL ST, MOUNT STERLING WI 54645","Crawford County"
"1821896",1821896,"9463 STATE ROAD 81, BEETOWN WI 53802","Grant County"
"1821917",1821917,"633 STATE ROAD 33, NEWBURG WI 53060","Washington County"
"1822587",1822587,"263 SAINT ANN AVE, DICKEYVILLE WI 53808-6866","Grant County"
"1822868",1822868,"N715 POND ST, PHLOX WI 54464","Langlade County"
"1822961",1822961,"211 WILLOW DR # #30, SPENCER WI 54479","Marathon County"
"1823876",1823876,"W7416 NORTH ST, PHLOX WI 54464","Langlade County"
"1824456",1824456,"W7352 STATE HIGHWAY 47, PHLOX WI 54464","Langlade County"
"1825236",1825236,"W2248 GROVE ST, ZACHOW WI 54182","Shawano County"
"1825290",1825290,"N1749 CENTER ST APT B, LEBANON WI 53047","Dodge County"
"1825417",1825417,"S42W31020 WOODFERN RD, GENESEE DEPOT WI 53127","Waukesha County"
"1826003",1826003,"9241F N 75TH ST, MILWAUKEE WI 54444-____","Milwaukee County"
"1826571",1826571,"W2377 US HIGHWAY 10 LOT 100, FOREST JUNCTION WI 54123","Calumet County"
"1826944",1826944,"365 N CENTER ST, DICKEYVILLE WI 53808-6812","Grant County"
"1827008",1827008,"803 N MAIN ST, PATCH GROVE WI 53817","Grant County"
"1827514",1827514,"350 N CENTER ST, DICKEYVILLE WI 53808-6812","Grant County"
"1827646",1827646,"S43W31289 HIGHWAY 83, GENESEE DEPOT WI 53127","Waukesha County"
"1828128",1828128,"S43W31161 HIGHWAY 83, GENESEE DEPOT WI 53127","Waukesha County"
"1828648",1828648,"W9776 STATE ROAD 96, DALE WI 54931","Outagamie County"
"1828767",1828767,"110 EMIL ST, DICKEYVILLE WI 53808-8500","Grant County"
"1828855",1828855,"N568 PLEASANT ST, ZENDA WI 53195","Walworth County"
"1828877",1828877,"W9718 HIGH ST, DALE WI 54931","Outagamie County"
"1829085",1829085,"N8781 MAIN ST, FOREST JCT WI 54123","Calumet County"
"1829268",1829268,"N956 COUNTY ROAD T, DALE WI 54931","Outagamie County"
"1829452",1829452,"227 FIELDSTONE DR APT 101, LAKE DELTON WI 53940","Sauk County"
"1829882",1829882,"238 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"1831092",1831092,"N960 COUNTY ROAD T, DALE WI 54931","Outagamie County"
"1831128",1831128,"3390 N MARTIN L KING JR DR APT 403, MILWAUKEE WI 54444-____","Milwaukee County"
"1831275",1831275,"1 MAPLE TERRACE CT LOT 13, ST NAZIANZ WI 54232","Manitowoc County"
"1831285",1831285,"N824 DEPOT RD, DALE WI 54931","Outagamie County"
"1831356",1831356,"208 W MAIN ST, ST NAZIANZ WI 54232","Manitowoc County"
"1831359",1831359,"208 E MAIN ST, ST NAZIANZ WI 54232","Manitowoc County"
"1831368",1831368,"119 S 2ND AVE A, ST NAZIANZ WI 54232","Manitowoc County"
"1831425",1831425,"112 S 6TH ST, SAINT NAZIANZ WI 54232-3320","Manitowoc County"
"1833193",1833193,"S43W31189 HWY 83, GENESEE DEPOT WI 53127","Waukesha County"
"1834181",1834181,"440 SKARE RD APT 4, WYOCENA WI 53969","Columbia County"
"1835349",1835349,"N40096 HIGHWAY 53, PIGEON FALLS WI 54760","Trempealeau County"
"1835357",1835357,"421 N MAIN ST, PATCH GROVE WI 53817","Grant County"
"1835371",1835371,"N852 DEPOT RD, DALE WI 54931","Outagamie County"
"1835483",1835483,"39445 WINSAND DR, PIGEON FALLS WI 54760","Trempealeau County"
"1835661",1835661,"W9771 HIGH ST, DALE WI 54931","Outagamie County"
"1836386",1836386,"28957 UNIVERSITY ST, GOTHAM WI 53540","Richland County"
"1836522",1836522,"N1016 STATE HIGHWAY 45, DALE WI 54931","Outagamie County"
"1836562",1836562,"28979 CAROLINE ST, SEXTONVILLE WI 53584","Richland County"
"1836596",1836596,"N997 WHITNEY ST, DALE WI 54931","Outagamie County"
"1836710",1836710,"510 APPLE ST, DICKEYVILLE WI 53808-6809","Grant County"
"1836931",1836931,"4355 N 104TH ST APT 216, WAUWATOSA WI 99999","Milwaukee County"
"1837692",1837692,"28978 N ADAMS ST, LONE ROCK WI 53356","Richland County"
"1837894",1837894,"33022 FULTON ST, GOTHAM WI 53540","Richland County"
"1838090",1838090,"32888 2ND ST, GOTHAM WI 53540","Richland County"
"1838093",1838093,"28875 MCNURLIN ST, GOTHAM WI 53540","Richland County"
"1838235",1838235,"W1267 CONDOR RD, PELL LAKE WI 53157","Walworth County"
"1838374",1838374,"32850 FULTON ST, GOTHAM WI 53540","Richland County"
"1838486",1838486,"28846 COUNTY HWY B, SEXTONVILLE WI 53584","Richland County"
"1838615",1838615,"28887 COUNTY HWY B, SEXTONVILLE WI 53584","Richland County"
"1838763",1838763,"29077 OLD SEXTONVILLE, SEXTONVILLE WI 53584","Richland County"
"1838880",1838880,"28845 CHARLOTTE ST, GOTHAM WI 53540","Richland County"
"1838908",1838908,"9696 MUSCALLOUNGE RD, BEETOWN WI 53802","Grant County"
"1839157",1839157,"W2477 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1839317",1839317,"29007 DUSTY LN, SEXTONVILLE WI 53584","Richland County"
"1839389",1839389,"32978 WISCONSIN ST, GOTHAM WI 53540","Richland County"
"1839634",1839634,"E4527 COUNTY ROAD C, DOWNSVILLE WI 54735","Dunn County"
"1839847",1839847,"5650 SHORT VALLEY LN, MOUNT PLEASANT WI 99999","Racine County"
"1840095",1840095,"35517 OAK KNOLL RD, ROCHESTER WI 53167","Racine County"
"1840138",1840138,"5000 W NATIONAL AVE 136, MILWAUKEE WI 53295-0001","Milwaukee County"
"1840580",1840580,"202B N MUSQUEQUACK ST, ROCHESTER WI 53167","Racine County"
"1841001",1841001,"W9756 STATE ROAD 96, DALE WI 54931","Outagamie County"
"1841786",1841786,"S17W32496 HWY 18 APT G, DELAFIELD WI 54444","Waukesha County"
"1841822",1841822,"801 WEST MAIN ST, NEWBURG WI 53060","Washington County"
"1842013",1842013,"N596 PLEASANT ST, ZENDA WI 53195","Walworth County"
"1842324",1842324,"N631 ZENDA RD, ZENDA WI 53195","Walworth County"
"1842775",1842775,"N8742 RANDOLPH ST, FOREST JUNCTION WI 54123","Calumet County"
"1842932",1842932,"W2090 CAMPGROUND RD, FOREST JUNCTION WI 54123","Calumet County"
"1842933",1842933,"N8854 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"1842983",1842983,"W2377 US HIGHWAY 10 LOT 111, FOREST JUNCTION WI 54123-9707","Calumet County"
"1843188",1843188,"7855 FERN GLEN DR, STAR LAKE WI 54561-9725","Vilas County"
"1843649",1843649,"105 N MUSQUEQUACK ST, ROCHESTER WI 53167","Racine County"
"1843667",1843667,"N831 DEPOT RD, DALE WI 54931","Outagamie County"
"1843859",1843859,"2541 LANGMAID ST, ROCHESTER WI 53167","Racine County"
"1843900",1843900,"29346 RIVER VIEW PKWY, ROCHESTER WI 53167","Racine County"
"1844160",1844160,"202 E. Diagonal Street, MOUNT STERLING WI 54645","Crawford County"
"1844367",1844367,"5209 S COUNTY ROAD D, AFTON WI 53501","Rock County"
"1845234",1845234,"W3740 EASTMAN ST, ZENDA WI 53195","Walworth County"
"1845252",1845252,"N3452 HWY 47 5F, NEOPIT WI 54444-____","Menominee County"
"1845406",1845406,"W2377 US HIGHWAY 10 LOT 131, FOREST JUNCTION WI 54123-9709","Calumet County"
"1845445",1845445,"35320 OAKWOOD DR, ROCHESTER WI 53167","Racine County"
"1845562",1845562,"34028 OAK KNOLL RD, ROCHESTER WI 53167","Racine County"
"1845896",1845896,"308 N MAIN, MOUNT STERLING WI 54645","Crawford County"
"1845922",1845922,"197 S MAIN ST, MOUNT STERLING WI 54645","Crawford County"
"1845934",1845934,"4700 COUNTY ROAD DM, MORRISONVILLE WI 53571","Dane County"
"1846362",1846362,"5000 W NATIONAL AVE 27, MILWAUKEE WI 53295-0001","Milwaukee County"
"1846830",1846830,"W2079 HUMBLE LN, FOREST JUNCTION WI 54123","Calumet County"
"1847225",1847225,"120 FIELDSTONE DR APT 1314, LAKE DELTON WI 53940","Sauk County"
"1847800",1847800,"54123 KINNIC KINNIC RD, ODANAH WI 54861","Ashland County"
"1848001",1848001,"34733 OAK KNOLL RD, ROCHESTER WI 53167","Racine County"
"1848167",1848167,"35515 WASHINGTON AVE, ROCHESTER WI 53167","Racine County"
"1848396",1848396,"73229 W DENOMIE ST, ODANAH WI 54861","Ashland County"
"1848428",1848428,"73270 W DENOMIE ST, ODANAH WI 54861","Ashland County"
"1848492",1848492,"29419 WALNUT DR, ROCHESTER WI 53167","Racine County"
"1849113",1849113,"73189 W DENOMIE ST, ODANAH WI 54861","Ashland County"
"1849202",1849202,"3164 N STARR ST, EDMUND WI 53535","Iowa County"
"1849203",1849203,"35522 OAK KNOLL RD, ROCHESTER WI 53167","Racine County"
"1849341",1849341,"73287 W DENOMIE ST, ODANAH WI 54861","Ashland County"
"1849363",1849363,"3162 N MAIN ST, EDMUND WI 99999","Iowa County"
"1849438",1849438,"73201 W DENOMIE ST, ODANAH WI 54861","Ashland County"
"1849453",1849453,"48707 BIRCHHILL RD, ODANAH WI 54861","Ashland County"
"1849525",1849525,"77838 RED PINE RD, ODANAH WI 54861","Ashland County"
"1849537",1849537,"54238 KINNIC KINNIC RD, ODANAH WI 54861","Ashland County"
"1849560",1849560,"53861 BIRCH ST, ODANAH WI 54861","Ashland County"
"1849660",1849660,"50184 EAST ACCESS RD, ODANAH WI 54861","Ashland County"
"1849782",1849782,"54167 KINNIC KINNIC RD, ODANAH WI 54861","Ashland County"
"1849938",1849938,"5840 MAIN ST, BUTTE DES MORTS WI 54927-9317","Winnebago County"
"1849961",1849961,"73303 BUTTERFIELD RD, ODANAH WI 54861","Ashland County"
"1850103",1850103,"2684 26 7/8 AVE, MIKANA WI 54857","Barron County"
"1850255",1850255,"75582 ALDER ST, ODANAH WI 54861","Ashland County"
"1850298",1850298,"77778 RED PINE RD, ODANAH WI 54861","Ashland County"
"1850444",1850444,"71274 RIVER RD, ODANAH WI 54861","Ashland County"
"1850454",1850454,"226 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"1850534",1850534,"73288 MAPLE ST, ODANAH WI 54861","Ashland County"
"1850545",1850545,"W15956 OLD 14 RD, WEYERHAEUSER WI 99999","Rusk County"
"1852806",1852806,"165 MAIN ST, SENECA WI 54654","Crawford County"
"1852964",1852964,"147 MAIN ST, SENECA WI 54654","Crawford County"
"1852981",1852981,"5755 HURON ST APT 1, BUTTE DES MORTS WI 54927-9332","Winnebago County"
"1853609",1853609,"W9311 STATE HIGHWAY 54, BLK RIVER FLS WI 54444","Jackson County"
"1853782",1853782,"N1762 WEST ST, LEBANON WI 53047","Dodge County"
"1855198",1855198,"210 MAIN ST, SENECA WI 54654","Crawford County"
"1855441",1855441,"W282N7001 MAIN ST, MERTON WI 53056","Waukesha County"
"1855477",1855477,"N1881 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1855605",1855605,"N1749 CENTER ST A, LEBANON WI 53047","Dodge County"
"1855646",1855646,"N1833 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1856429",1856429,"3805 5TH AVE, S MILWAUKEE WI 54444","Milwaukee County"
"1857074",1857074,"227 MAIN ST, SENECA WI 54654","Crawford County"
"1857135",1857135,"10616 COUNTY ROAD M, WOODFORD WI 53599-9705","Lafayette County"
"1857363",1857363,"W4732 SCOTT LN, LEBANON WI 53047","Dodge County"
"1857384",1857384,"4800 N PORT WASHINGTON RD DUPLICATE APT 301, MILWAUKEE WI 99999","Milwaukee County"
"1857426",1857426,"W4670 GREENDALE ST, LEBANON WI 53047","Dodge County"
"1857692",1857692,"9461 STATE ROAD 81, BEETOWN WI 53802","Grant County"
"1857758",1857758,"10670 COUNTY ROAD M, WOODFORD WI 53599-9705","Lafayette County"
"1857772",1857772,"902 KRONENWETTER DR, KRONENWETTER WI 99999","Marathon County"
"1857853",1857853,"2266 RAILROAD ST, WOODFORD WI 53599","Lafayette County"
"1858002",1858002,"W3029 LINCOLN ST, DOYLESTOWN WI 53928","Columbia County"
"1858107",1858107,"7970 W COUNTY ROAD U, BEETOWN WI 53802","Grant County"
"1858468",1858468,"9241B N 75TH ST, MILWAUKEE WI 54444-____","Milwaukee County"
"1858753",1858753,"S4501B COUNTY HWY V, WONEWOC WI 53468","Vernon County"
"1859106",1859106,"111 DAVIS ST, STOCKBRIDGE WI 53088","Calumet County"
"1859194",1859194,"510 JAMES ST, STOCKBRIDGE WI 53088","Calumet County"
"1859232",1859232,"228 ENTERPRISE ST, STOCKBRIDGE WI 53088-2000","Calumet County"
"1859855",1859855,"102 ELM ST 244, FAIRWATER WI 53931-9715","Fond du Lac County"
"1860468",1860468,"W4668 COUNTY ROAD MM, LEBANON WI 53047","Dodge County"
"1860529",1860529,"N1870 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1860711",1860711,"W4738 SCOTT LN, LEBANON WI 53047","Dodge County"
"1860756",1860756,"N1743 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1860935",1860935,"W282N7162 MAIN ST, MERTON WI 53056","Waukesha County"
"1860940",1860940,"215 N CHURCH ST, DICKEYVILLE WI 53808-6816","Grant County"
"1861117",1861117,"225 N CHURCH ST, DICKEYVILLE WI 53808-6816","Grant County"
"1861268",1861268,"72911 MAPLE ST, ODANAH WI 54861","Ashland County"
"1861269",1861269,"N1818 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
