,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
CHURCH/TEMPLE,PITTSBURGH,15210,OUR LADY OF ANGELS 36TH ST ENT-225 37TH ST,225 37TH ST,"225 37TH ST, PITTSBURGH","225 37TH ST, PITTSBURGH, Pennsylvania, 15210"
PRIVATE SCHOOL,PITTSBURGH,15210,ZION EVANGELICAL LUTHERAN CHURCH-237 37TH ST,237 37TH ST,"237 37TH ST, PITTSBURGH","237 37TH ST, PITTSBURGH, Pennsylvania, 15210"
PRIVATE SCHOOL,PITTSBURGH,15210,ZION EVANGELICAL LUTHERAN CHURCH-237 37TH ST,237 37TH ST,"237 37TH ST, PITTSBURGH","237 37TH ST, PITTSBURGH, Pennsylvania, 15210"
CHURCH/TEMPLE,PITTSBURGH,15219,IMMACULATE HEART OF MARY CHURCH- 3058 BRERETON ST. , 3058 BRERETON ST. ," 3058 BRERETON ST. , PITTSBURGH"," 3058 BRERETON ST. , PITTSBURGH, Pennsylvania, 15219"
CHURCH/TEMPLE,PITTSBURGH,15219,IMMACULATE HEART OF MARY CHURCH- 3058 BRERETON ST. , 3058 BRERETON ST. ," 3058 BRERETON ST. , PITTSBURGH"," 3058 BRERETON ST. , PITTSBURGH, Pennsylvania, 15219"
SYNAGOGUE,PITTSBURGH,15213,RODEF SHALOM CONGRIGATION- 4905 5TH AVE. , 4905 5TH AVE. ," 4905 5TH AVE. , PITTSBURGH"," 4905 5TH AVE. , PITTSBURGH, Pennsylvania, 15213"
CHURCH/TEMPLE,PITTSBURGH,15213,RODEF SHALOM CONGRIGATION- 4905 5TH AVE. , 4905 5TH AVE. ," 4905 5TH AVE. , PITTSBURGH"," 4905 5TH AVE. , PITTSBURGH, Pennsylvania, 15213"
CHURCH/TEMPLE,PITTSBURGH,15213,FIRST UNITED METHODIST CHURCH- 5401 CENTRE AVE. , 5401 CENTRE AVE. ," 5401 CENTRE AVE. , PITTSBURGH"," 5401 CENTRE AVE. , PITTSBURGH, Pennsylvania, 15213"
CITY OF PGH EMS,PITTSBURGH,15232,FILBERT & ELMER STS - PARAMEDIC CENTER, PARAMEDIC CENTER," PARAMEDIC CENTER, PITTSBURGH"," PARAMEDIC CENTER, PITTSBURGH, Pennsylvania, 15232"
CITY OF PGH EMS,PITTSBURGH,15232,FILBERT & ELMER STS- PARAMEDIC CENTER, PARAMEDIC CENTER," PARAMEDIC CENTER, PITTSBURGH"," PARAMEDIC CENTER, PITTSBURGH, Pennsylvania, 15232"
CHURCH/TEMPLE,PITTSBURGH,15232,THE THIRD PRESBYTERIAN CHURCH- 5701 FIFTH AVE. , 5701 FIFTH AVE. ," 5701 FIFTH AVE. , PITTSBURGH"," 5701 FIFTH AVE. , PITTSBURGH, Pennsylvania, 15232"
CITY OF PGH EMS,PITTSBURGH,15232,FILBERT & ELMER STS.-PARAMEDIC CENTER,PARAMEDIC CENTER,"PARAMEDIC CENTER, PITTSBURGH","PARAMEDIC CENTER, PITTSBURGH, Pennsylvania, 15232"
PGH BOARD OF PUB ED,PITTSBURGH,15232,LIBERTY ELEMENTARY SCHOOL- 601 FILBERT ST. , 601 FILBERT ST. ," 601 FILBERT ST. , PITTSBURGH"," 601 FILBERT ST. , PITTSBURGH, Pennsylvania, 15232"
CHURCH/TEMPLE,PITTSBURGH,15206,CALVARY EPISCOPAL CHURCH-315 SHADY AVE,315 SHADY AVE,"315 SHADY AVE, PITTSBURGH","315 SHADY AVE, PITTSBURGH, Pennsylvania, 15206"
PRIVATE SCHOOL,PITTSBURGH,15206,SACRED HEART ACTIVITIES BLDG.62225 ALDER ST,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15206,CALVARY EPISCOPAL CHURCH- 315 SHADY AVE.  , 315 SHADY AVE.  ," 315 SHADY AVE.  , PITTSBURGH"," 315 SHADY AVE.  , PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,CALVARY EPISCOPAL CHURCH- 315 SHADY AVE. , 315 SHADY AVE. ," 315 SHADY AVE. , PITTSBURGH"," 315 SHADY AVE. , PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15213,FIRST UNITARIAN CH. OF PGH.- 605 MOOREWOOD AVE., 605 MOOREWOOD AVE.," 605 MOOREWOOD AVE., PITTSBURGH"," 605 MOOREWOOD AVE., PITTSBURGH, Pennsylvania, 15213"
CHURCH/TEMPLE,PITTSBURGH,15213,FIRST UNITARIAN CH. OF PGH.- 605 MOOREWOOD AVE., 605 MOOREWOOD AVE.," 605 MOOREWOOD AVE., PITTSBURGH"," 605 MOOREWOOD AVE., PITTSBURGH, Pennsylvania, 15213"
CITY OWNED BLDGS,PITTSBURGH,15224,ELLA ST-BLOOMFIELD RECREATION CENTER,BLOOMFIELD RECREATION CENTER,"BLOOMFIELD RECREATION CENTER, PITTSBURGH","BLOOMFIELD RECREATION CENTER, PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15224,ST JOSEPH CHURCH-4712 LIBERTY AVE,4712 LIBERTY AVE,"4712 LIBERTY AVE, PITTSBURGH","4712 LIBERTY AVE, PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15224,SHEPHERD WELLNESS COMMUNITY- 4800 SCIOTA ST. , 4800 SCIOTA ST. ," 4800 SCIOTA ST. , PITTSBURGH"," 4800 SCIOTA ST. , PITTSBURGH, Pennsylvania, 15224"
UNION HALL,PITTSBURGH,15224,MECHANICAL CONTRACTORS ASSOCIATION OF WESTERN PA- 5131 CYPRESS ST., 5131 CYPRESS ST.," 5131 CYPRESS ST., PITTSBURGH"," 5131 CYPRESS ST., PITTSBURGH, Pennsylvania, 15224"
BUSINESS,PITTSBURGH,15224,5001 LIBERTY AVE - SHADY SIDE HONDA, SHADY SIDE HONDA," SHADY SIDE HONDA, PITTSBURGH"," SHADY SIDE HONDA, PITTSBURGH, Pennsylvania, 15224"
HOSPITALS,PITTSBURGH,15224,THE WESTERN PA HOSPITAL- 4800 FRIENDSHIP AVE. , 4800 FRIENDSHIP AVE. ," 4800 FRIENDSHIP AVE. , PITTSBURGH"," 4800 FRIENDSHIP AVE. , PITTSBURGH, Pennsylvania, 15224"
BUSINESS,PITTSBURGH,15224,5001 LIBERTY AVE - SHADY SIDE HONDA, SHADY SIDE HONDA," SHADY SIDE HONDA, PITTSBURGH"," SHADY SIDE HONDA, PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15224,221 S EVALINE ST - EVALINE LUTHERAN CHURCH, EVALINE LUTHERAN CHURCH," EVALINE LUTHERAN CHURCH, PITTSBURGH"," EVALINE LUTHERAN CHURCH, PITTSBURGH, Pennsylvania, 15224"
HI-RISES-PRIVATE APTS,PITTSBURGH,15224,ESSEX HOUSE LOWER LEVEL LOBBY 5701 CENTRE AVE,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15224,221 S EVALINE ST - EVALINE LUTHERAN CHURCH, EVALINE LUTHERAN CHURCH," EVALINE LUTHERAN CHURCH, PITTSBURGH"," EVALINE LUTHERAN CHURCH, PITTSBURGH, Pennsylvania, 15224"
PGH BOARD OF PUB ED,PITTSBURGH,15224,PITTSBURGH MONTESSORI SCHOOL- 201 S. GRAHAM ST., 201 S. GRAHAM ST.," 201 S. GRAHAM ST., PITTSBURGH"," 201 S. GRAHAM ST., PITTSBURGH, Pennsylvania, 15224"
PGH BOARD OF PUB ED,PITTSBURGH,15224,PITTSBURGH MONTESSORI SCHOOL- 201 S. GRAHAM ST., 201 S. GRAHAM ST.," 201 S. GRAHAM ST., PITTSBURGH"," 201 S. GRAHAM ST., PITTSBURGH, Pennsylvania, 15224"
LIBRARY,PITTSBURGH,15206,CARNEGIE LIBRARY MEETING ROOM- 130 S. WHITFIELD ST., 130 S. WHITFIELD ST.," 130 S. WHITFIELD ST., PITTSBURGH"," 130 S. WHITFIELD ST., PITTSBURGH, Pennsylvania, 15206"
UNION HALL,PITTSBURGH,15201,TEAMSTERS LOCAL UNION 249- 4701 BUTLER ST. , 4701 BUTLER ST. ," 4701 BUTLER ST. , PITTSBURGH"," 4701 BUTLER ST. , PITTSBURGH, Pennsylvania, 15201"
UNION HALL,PITTSBURGH,15201,TEAMSTERS LOCAL UNION 249- 4701 BUTLER ST. , 4701 BUTLER ST. ," 4701 BUTLER ST. , PITTSBURGH"," 4701 BUTLER ST. , PITTSBURGH, Pennsylvania, 15201"
UNION HALL,PITTSBURGH,15201,TEAMSTERS LOCAL UNION 249- 4701 BUTLER ST. , 4701 BUTLER ST. ," 4701 BUTLER ST. , PITTSBURGH"," 4701 BUTLER ST. , PITTSBURGH, Pennsylvania, 15201"
CHURCH/TEMPLE,PITTSBURGH,15201,ST MARY'S LYCEUM- 329-45TH ST. , 329-45TH ST. ," 329-45TH ST. , PITTSBURGH"," 329-45TH ST. , PITTSBURGH, Pennsylvania, 15201"
LIBRARY,PITTSBURGH,15201,CARNEGIE LIBRARY OF PGH LAWRENCEVILLE 279 FISK ST,#VALUE!,#VALUE!,#VALUE!
COMMUNITY CENTER,PITTSBURGH,15201,CARNEGIE LIBRARY OF PGH LAWRENCEVILLE 279 FISK ST,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15201,ST MARY'S LYCEUM- 329-45TH ST. , 329-45TH ST. ," 329-45TH ST. , PITTSBURGH"," 329-45TH ST. , PITTSBURGH, Pennsylvania, 15201"
PGH BOARD OF PUB ED,PITTSBURGH,15201,WOOLSLAIR SCH GYM-CHRISTIAN WAY ENTRANCE-501 40TH ST.,CHRISTIAN WAY ENTRANCE-501 40TH ST.,"CHRISTIAN WAY ENTRANCE-501 40TH ST., PITTSBURGH","CHRISTIAN WAY ENTRANCE-501 40TH ST., PITTSBURGH, Pennsylvania, 15201"
HOSPITALS,PITTSBURGH,15224,THE WESTERN PA HOSPITAL- 4800 FRIENDSHIP AVE. , 4800 FRIENDSHIP AVE. ," 4800 FRIENDSHIP AVE. , PITTSBURGH"," 4800 FRIENDSHIP AVE. , PITTSBURGH, Pennsylvania, 15224"
BUSINESS,PITTSBURGH,15201,JOHN F. MURRAY FUNERAL HOME PARLOR- 5175 BUTLER ST., 5175 BUTLER ST.," 5175 BUTLER ST., PITTSBURGH"," 5175 BUTLER ST., PITTSBURGH, Pennsylvania, 15201"
BUSINESS,PITTSBURGH,15201,A.O.H. CLUB DIV 23--5203 CARNEGIE ST,-5203 CARNEGIE ST,"-5203 CARNEGIE ST, PITTSBURGH","-5203 CARNEGIE ST, PITTSBURGH, Pennsylvania, 15201"
BUSINESS,PITTSBURGH,15201,A.O.H. CLUB DIV 23--5203 CARNEGIE ST,-5203 CARNEGIE ST,"-5203 CARNEGIE ST, PITTSBURGH","-5203 CARNEGIE ST, PITTSBURGH, Pennsylvania, 15201"
CITY OF PGH FIREHOUSES,PITTSBURGH,15206,ENGINE HOUSE #7- 4603 STANTON AVE. , 4603 STANTON AVE. ," 4603 STANTON AVE. , PITTSBURGH"," 4603 STANTON AVE. , PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15201,4801 STANTON AVE-SUNNYSIDE SCHOOL-FOYER,SUNNYSIDE SCHOOL-FOYER,"SUNNYSIDE SCHOOL-FOYER, PITTSBURGH","SUNNYSIDE SCHOOL-FOYER, PITTSBURGH, Pennsylvania, 15201"
CITY OF PGH FIREHOUSES,PITTSBURGH,15206,ENGINE HOUSE #7- 4603 STANTON AVE. , 4603 STANTON AVE. ," 4603 STANTON AVE. , PITTSBURGH"," 4603 STANTON AVE. , PITTSBURGH, Pennsylvania, 15206"
CITY OWNED BLDGS,PITTSBURGH,15206,MORNINGSIDE SENIOR CENTER (JOE NATOLI FIELD)- 6944 PRESIDENT WAY , 6944 PRESIDENT WAY ," 6944 PRESIDENT WAY , PITTSBURGH"," 6944 PRESIDENT WAY , PITTSBURGH, Pennsylvania, 15206"
CITY OWNED BLDGS,PITTSBURGH,15206,MORNINGSIDE SENIOR CENTER (JOE NATOLI FIELD)- 6944 PRESIDENT WAY , 6944 PRESIDENT WAY ," 6944 PRESIDENT WAY , PITTSBURGH"," 6944 PRESIDENT WAY , PITTSBURGH, Pennsylvania, 15206"
CITY OWNED BLDGS,PITTSBURGH,15206,MORNINGSIDE SENIOR CENTER (JOE NATOLI FIELD)- 6944 PRESIDENT WAY , 6944 PRESIDENT WAY ," 6944 PRESIDENT WAY , PITTSBURGH"," 6944 PRESIDENT WAY , PITTSBURGH, Pennsylvania, 15206"
PRIVATE CLUB,PITTSBURGH,15206,MORNINGSIDE VFW POST 3945-1820 MORNINGSIDE AVE,1820 MORNINGSIDE AVE,"1820 MORNINGSIDE AVE, PITTSBURGH","1820 MORNINGSIDE AVE, PITTSBURGH, Pennsylvania, 15206"
PRIVATE CLUB,PITTSBURGH,15206,MORNINGSIDE VFW POST 3945-1820 MORNINGSIDE AVE,1820 MORNINGSIDE AVE,"1820 MORNINGSIDE AVE, PITTSBURGH","1820 MORNINGSIDE AVE, PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15201,4801 STANTON AVE - SUNNYSIDE SCHOOL AUDITORIUM, SUNNYSIDE SCHOOL AUDITORIUM," SUNNYSIDE SCHOOL AUDITORIUM, PITTSBURGH"," SUNNYSIDE SCHOOL AUDITORIUM, PITTSBURGH, Pennsylvania, 15201"
PGH BOARD OF PUB ED,PITTSBURGH,15201,4801 STANTON AVE - SUNNYSIDE SCHOOL LOBBY, SUNNYSIDE SCHOOL LOBBY," SUNNYSIDE SCHOOL LOBBY, PITTSBURGH"," SUNNYSIDE SCHOOL LOBBY, PITTSBURGH, Pennsylvania, 15201"
PGH BOARD OF PUB ED,PITTSBURGH,15201,"4801 STANTON AVE-SUNNYSIDE SCHOOL, AUDITORIUM","SUNNYSIDE SCHOOL, AUDITORIUM","SUNNYSIDE SCHOOL, AUDITORIUM, PITTSBURGH","SUNNYSIDE SCHOOL, AUDITORIUM, PITTSBURGH, Pennsylvania, 15201"
HI-RISES-PRIVATE APTS,PITTSBURGH,15224,THE COMMONS AT NORTH AIKEN- 5330 NORTH AIKEN COURT , 5330 NORTH AIKEN COURT ," 5330 NORTH AIKEN COURT , PITTSBURGH"," 5330 NORTH AIKEN COURT , PITTSBURGH, Pennsylvania, 15224"
PGH BOARD OF PUB ED,PITTSBURGH,15224,FORT PITT ACCELERATED LEARNING ACADEMY- 5101 HILLCREST ST., 5101 HILLCREST ST.," 5101 HILLCREST ST., PITTSBURGH"," 5101 HILLCREST ST., PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15224,SAINT LAWRENCE O'TOOLE ACTIVITIES BUILDING- 140 N ATLANTIC AVE., 140 N ATLANTIC AVE.," 140 N ATLANTIC AVE., PITTSBURGH"," 140 N ATLANTIC AVE., PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15224,5000 DEARBORN ST - BETHESDA TEMPLE 1ST FLOOR HALL, BETHESDA TEMPLE 1ST FLOOR HALL," BETHESDA TEMPLE 1ST FLOOR HALL, PITTSBURGH"," BETHESDA TEMPLE 1ST FLOOR HALL, PITTSBURGH, Pennsylvania, 15224"
PGH BOARD OF PUB ED,PITTSBURGH,15224,FORT PITT ACCELERATED LEARNING ACADEMY- 5101 HILLCREST ST., 5101 HILLCREST ST.," 5101 HILLCREST ST., PITTSBURGH"," 5101 HILLCREST ST., PITTSBURGH, Pennsylvania, 15224"
PGH BOARD OF PUB ED,PITTSBURGH,15206,PITTSBURGH FULTON- 5799 HAMPTON ST., 5799 HAMPTON ST.," 5799 HAMPTON ST., PITTSBURGH"," 5799 HAMPTON ST., PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15224,SAINT LAWRENCE O'TOOLE ACTIVITIES BUILDING- 140 N ATLANTIC AVE., 140 N ATLANTIC AVE.," 140 N ATLANTIC AVE., PITTSBURGH"," 140 N ATLANTIC AVE., PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15206,EAST LIBERTY LUTHERAN CHURCH- 5707 PENN AVE., 5707 PENN AVE.," 5707 PENN AVE., PITTSBURGH"," 5707 PENN AVE., PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15224,SAINT LAWRENCE O'TOOLE ACTIVITIES BUILDING- 140 N ATLANTIC AVE., 140 N ATLANTIC AVE.," 140 N ATLANTIC AVE., PITTSBURGH"," 140 N ATLANTIC AVE., PITTSBURGH, Pennsylvania, 15224"
CHURCH/TEMPLE,PITTSBURGH,15206,VALLEY VIEW PRESBYTERIAN CHURCH-601 N AIKEN AVE,601 N AIKEN AVE,"601 N AIKEN AVE, PITTSBURGH","601 N AIKEN AVE, PITTSBURGH, Pennsylvania, 15206"
BUSINESS,PITTSBURGH,15206,FULTON SCHOOL--5799 HAMPTON ST,-5799 HAMPTON ST,"-5799 HAMPTON ST, PITTSBURGH","-5799 HAMPTON ST, PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15206,PITTSBURGH FULTON- 5799 HAMPTON ST., 5799 HAMPTON ST.," 5799 HAMPTON ST., PITTSBURGH"," 5799 HAMPTON ST., PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,ST ANDREWS EPISCOPAL CHURCH 5801 HAMPTON ST,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15206,ST ANDREWS EPISCOPAL CHURCH 5801 HAMPTON ST,#VALUE!,#VALUE!,#VALUE!
CITY OWNED BLDGS,PITTSBURGH,15206,FARM HOUSE 1ST FLOOR1340 FARM HOUSE DR,#VALUE!,#VALUE!,#VALUE!
PGH BOARD OF PUB ED,PITTSBURGH,15206,FULTON SCHOOL--5799 HAMPTON ST,-5799 HAMPTON ST,"-5799 HAMPTON ST, PITTSBURGH","-5799 HAMPTON ST, PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15206,DILLWORTH SCHOOL GYM-6200 STANTON AVE,6200 STANTON AVE,"6200 STANTON AVE, PITTSBURGH","6200 STANTON AVE, PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15206,DILLWORTH SCHOOL GYM-6200 STANTON AVE,6200 STANTON AVE,"6200 STANTON AVE, PITTSBURGH","6200 STANTON AVE, PITTSBURGH, Pennsylvania, 15206"
PGH BOARD OF PUB ED,PITTSBURGH,15206,DILLWORTH SCHOOL GYM-6200 STANTON AVE,6200 STANTON AVE,"6200 STANTON AVE, PITTSBURGH","6200 STANTON AVE, PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,PENTECOSTAL TEMPLE CHURCH- 6300 E. LIBERTY BLVD. , 6300 E. LIBERTY BLVD. ," 6300 E. LIBERTY BLVD. , PITTSBURGH"," 6300 E. LIBERTY BLVD. , PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,RODMAN STREET BAPTIST CHURCH 6111 RODMAN ST,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15206,ST ANDREWS EPISCOPAL CHURCH 5801 HAMPTON ST,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,PITTSBURGH,15206,RODMAN STREET BAPTIST CHURCH 6111 RODMAN ST,#VALUE!,#VALUE!,#VALUE!
COMMUNITY CENTER,PITTSBURGH,15206,6435 FRANKSTOWN AVENUE - KINGSLEY HOUSE COMMUNITY RM, KINGSLEY HOUSE COMMUNITY RM," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH"," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,SIXTH MT. ZION CHURCH- 6556 SHETLAND ST. , 6556 SHETLAND ST. ," 6556 SHETLAND ST. , PITTSBURGH"," 6556 SHETLAND ST. , PITTSBURGH, Pennsylvania, 15206"
COMMUNITY CENTER,PITTSBURGH,15206,6435 FRANKSTOWN AVENUE - KINGSLEY HOUSE COMMUNITY RM, KINGSLEY HOUSE COMMUNITY RM," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH"," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH, Pennsylvania, 15206"
COMMUNITY CENTER,PITTSBURGH,15206,6435 FRANKSTOWN AVENUE - KINGSLEY HOUSE COMMUNITY RM, KINGSLEY HOUSE COMMUNITY RM," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH"," KINGSLEY HOUSE COMMUNITY RM, PITTSBURGH, Pennsylvania, 15206"
COMMUNITY CENTER,PITTSBURGH,15206,6435 FRANKSTOWN AVENUE - KINGSLEY HOUSE PAULSON AVE ENT, KINGSLEY HOUSE PAULSON AVE ENT," KINGSLEY HOUSE PAULSON AVE ENT, PITTSBURGH"," KINGSLEY HOUSE PAULSON AVE ENT, PITTSBURGH, Pennsylvania, 15206"
COMMUNITY CENTER,PITTSBURGH,15206,6435 FRANKSTOWN AVENUE - KINGSLEY HOUSE PAULSON AVE ENT, KINGSLEY HOUSE PAULSON AVE ENT," KINGSLEY HOUSE PAULSON AVE ENT, PITTSBURGH"," KINGSLEY HOUSE PAULSON AVE ENT, PITTSBURGH, Pennsylvania, 15206"
CITY OWNED BLDGS,PITTSBURGH,15206,PAULSON&DEAN ST-PAULSON RECREATION CENTER-FIRST FL,PAULSON RECREATION CENTER-FIRST FL,"PAULSON RECREATION CENTER-FIRST FL, PITTSBURGH","PAULSON RECREATION CENTER-FIRST FL, PITTSBURGH, Pennsylvania, 15206"
YMCA-YWCA,PITTSBURGH,15208,HOMEWOOD-BRUSHTON YWCA- 6907 FRANKSTOWN AVE. ,BRUSHTON YWCA- 6907 FRANKSTOWN AVE. ,"BRUSHTON YWCA- 6907 FRANKSTOWN AVE. , PITTSBURGH","BRUSHTON YWCA- 6907 FRANKSTOWN AVE. , PITTSBURGH, Pennsylvania, 15208"
YMCA-YWCA,PITTSBURGH,15208,HOMEWOOD-BRUSHTON YWCA- 6907 FRANKSTOWN AVE. ,BRUSHTON YWCA- 6907 FRANKSTOWN AVE. ,"BRUSHTON YWCA- 6907 FRANKSTOWN AVE. , PITTSBURGH","BRUSHTON YWCA- 6907 FRANKSTOWN AVE. , PITTSBURGH, Pennsylvania, 15208"
CITY OWNED BLDGS,PITTSBURGH,15206,PAULSON & DEAN-PAULSON RECREATION CENTER,PAULSON RECREATION CENTER,"PAULSON RECREATION CENTER, PITTSBURGH","PAULSON RECREATION CENTER, PITTSBURGH, Pennsylvania, 15206"
CITY OF PGH FIREHOUSES,PITTSBURGH,15206,ENGINE 15 PGH BUREAU OF FIRE- 7024 LEMINGTON AVE. , 7024 LEMINGTON AVE. ," 7024 LEMINGTON AVE. , PITTSBURGH"," 7024 LEMINGTON AVE. , PITTSBURGH, Pennsylvania, 15206"
CITY OF PGH FIREHOUSES,PITTSBURGH,15208,ENGINE 15 PGH BUREAU OF FIRE- 7024 LEMINGTON AVE. , 7024 LEMINGTON AVE. ," 7024 LEMINGTON AVE. , PITTSBURGH"," 7024 LEMINGTON AVE. , PITTSBURGH, Pennsylvania, 15208"
CITY OF PGH FIREHOUSES,PITTSBURGH,15208,ENGINE 15 PGH BUREAU OF FIRE- 7024 LEMINGTON AVE. , 7024 LEMINGTON AVE. ," 7024 LEMINGTON AVE. , PITTSBURGH"," 7024 LEMINGTON AVE. , PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15206,ST CHARLES LWANGA PARISH- 1550 LINCOLN AVE., 1550 LINCOLN AVE.," 1550 LINCOLN AVE., PITTSBURGH"," 1550 LINCOLN AVE., PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,ST CHARLES LWANGA PARISH- 1550 LINCOLN AVE., 1550 LINCOLN AVE.," 1550 LINCOLN AVE., PITTSBURGH"," 1550 LINCOLN AVE., PITTSBURGH, Pennsylvania, 15206"
CHURCH/TEMPLE,PITTSBURGH,15206,ST CHARLES LWANGA PARISH- 1550 LINCOLN AVE., 1550 LINCOLN AVE.," 1550 LINCOLN AVE., PITTSBURGH"," 1550 LINCOLN AVE., PITTSBURGH, Pennsylvania, 15206"
LIBRARY,PITTSBURGH,15208,CARNEGIE LIBARARY OF PITTSBURGH -HOMEWOOD- 7101 HAMILTON AVE. ,HOMEWOOD- 7101 HAMILTON AVE. ,"HOMEWOOD- 7101 HAMILTON AVE. , PITTSBURGH","HOMEWOOD- 7101 HAMILTON AVE. , PITTSBURGH, Pennsylvania, 15208"
HI-RISES-PRIVATE APTS,PITTSBURGH,15208,HOMEWOOD HOUSE- 7130 FRANKSTOWN AVE. , 7130 FRANKSTOWN AVE. ," 7130 FRANKSTOWN AVE. , PITTSBURGH"," 7130 FRANKSTOWN AVE. , PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,LINCOLN INTERMEDIATE SCHOOL- 7109 HERMITAGE ST., 7109 HERMITAGE ST.," 7109 HERMITAGE ST., PITTSBURGH"," 7109 HERMITAGE ST., PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,LINCOLN INTERMEDIATE SCHOOL- 7109 HERMITAGE ST., 7109 HERMITAGE ST.," 7109 HERMITAGE ST., PITTSBURGH"," 7109 HERMITAGE ST., PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,LINCOLN INTERMEDIATE SCHOOL- 7109 HERMITAGE ST., 7109 HERMITAGE ST.," 7109 HERMITAGE ST., PITTSBURGH"," 7109 HERMITAGE ST., PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15208,7241 RACE ST-BAPTIST TEMPLE CHURCH BASEMENT,BAPTIST TEMPLE CHURCH BASEMENT,"BAPTIST TEMPLE CHURCH BASEMENT, PITTSBURGH","BAPTIST TEMPLE CHURCH BASEMENT, PITTSBURGH, Pennsylvania, 15208"
HI-RISES-PRIVATE APTS,PITTSBURGH,15208,BENNETT PLACE HIGHRISE-7245 BENNETT ST,7245 BENNETT ST,"7245 BENNETT ST, PITTSBURGH","7245 BENNETT ST, PITTSBURGH, Pennsylvania, 15208"
CHURCH/TEMPLE,PITTSBURGH,15208,HELEN FAISON SCHOOL--7430 TIOGA ST,-7430 TIOGA ST,"-7430 TIOGA ST, PITTSBURGH","-7430 TIOGA ST, PITTSBURGH, Pennsylvania, 15208"
CITY OF PGH FIREHOUSES,PITTSBURGH,15208,7601 HAMILTON AVE.- ENGINE CO. NO. 17, ENGINE CO. NO. 17," ENGINE CO. NO. 17, PITTSBURGH"," ENGINE CO. NO. 17, PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,7430 TIOGA STREET - HELEN FAISON ARTS ACADEMY GYM, HELEN FAISON ARTS ACADEMY GYM," HELEN FAISON ARTS ACADEMY GYM, PITTSBURGH"," HELEN FAISON ARTS ACADEMY GYM, PITTSBURGH, Pennsylvania, 15208"
PGH BOARD OF PUB ED,PITTSBURGH,15208,STUDENT ACHIEVEMENT CENTER- 925 BRUSHTON AVE. , 925 BRUSHTON AVE. ," 925 BRUSHTON AVE. , PITTSBURGH"," 925 BRUSHTON AVE. , PITTSBURGH, Pennsylvania, 15208"
