"vre602","cd","ss","sh","cc","ed","mu","ext","address","white_a","white_i","black_a","black_i","hispanic_a","hispanic_i","asian_a","asian_i","other_a","other_i","total_a","total_i"
"SC29A",13,35,64,6,6,"07",1005,"S L Lewis Elementary School 6201 Connell Road",50,9,2543,83,35,0,3,1,373,13,3004,106
"SC30A",5,38,55,6,4,"01",1004,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)",4,0,113,4,0,0,3,0,19,3,139,7
"SC30B",5,38,55,6,3,"01",995,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)",23,0,873,59,1,0,0,0,138,10,1035,69
"SS01",6,40,51,1,7,"01",898,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)",3509,163,263,23,98,8,110,7,623,39,4603,240
"SS02A",6,56,52,2,3,"03",899,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)",767,56,160,17,30,3,26,0,157,20,1140,96
"SS02B",6,32,52,2,3,"03",900,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)",606,42,340,29,68,4,34,1,229,20,1277,96
"SS03",6,32,52,2,3,"03",900,"Lake Forest Elementary School 5920 Sandy Springs Cir",980,66,155,7,59,2,51,2,264,22,1509,99
"SS04",6,32,52,2,7,"04",901,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)",1792,142,710,60,150,7,183,17,605,89,3440,315
"SS05",6,32,52,3,3,"03",902,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)",1442,55,60,0,29,1,30,0,222,15,1783,71
"SS06",6,6,52,3,3,"03",903,"Sandy Springs Library
395 Mount Vernon Hwy Ne
Split (SS06, SS31)",1238,39,61,6,30,1,35,1,207,14,1571,61
"SS07A",6,6,52,2,3,"04",904,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",859,48,39,3,9,1,37,0,164,8,1108,60
"SS07B",6,6,52,3,3,"03",903,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",469,35,112,5,16,0,31,1,109,7,737,48
"SS07C",6,6,80,3,3,"05",905,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",551,43,58,3,33,0,17,0,123,15,782,61
"SS08A",6,6,80,3,3,"05",905,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",761,88,401,30,80,6,105,5,245,33,1592,162
"SS08B",6,6,52,3,3,"03",903,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",497,28,47,1,13,1,15,1,74,9,646,40
"SS08C",6,6,52,2,3,"04",904,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",337,23,121,9,32,0,53,8,118,8,661,48
"SS08D",6,6,80,3,3,"03",906,"Hammond Park Gym 705 Hammond Drive Ne Split (SS07A, SS07B, SS07C, SS08A, SS08B, SS08C, SS08D)",787,93,321,42,64,7,77,10,245,31,1494,183
"SS09A",11,32,52,3,3,"06",907,"Mt Vernon Baptist Church 850 Mt Vernon Hwy Nw
Split (SS09A, SS09B)",2317,104,198,15,56,7,76,1,420,21,3067,148
"SS09B",11,6,52,3,3,"06",908,"Mt Vernon Baptist Church 850 Mt Vernon Hwy Nw
Split (SS09A, SS09B)",2682,110,109,2,52,0,106,8,458,23,3407,143
"SS11A",6,6,52,3,3,"05",909,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",2109,202,740,93,211,21,122,16,575,88,3757,420
"SS11B",6,6,52,3,3,"06",910,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",629,62,185,25,217,10,41,5,218,32,1290,134
"SS11C",6,6,80,3,3,"06",911,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",96,7,93,11,46,1,10,0,75,7,320,26
"SS11D",11,6,52,3,3,"06",908,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",274,25,15,1,9,0,10,1,61,3,369,30
"SS12",6,6,80,3,3,"05",905,"Ridgeview Middle School 5340 South Trimble Rd
Split (SS12, SS14)",1863,131,238,9,64,1,100,5,405,48,2670,194
"SS13A",11,6,52,3,3,"05",912,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",1236,97,245,27,105,6,46,5,282,30,1914,165
"SS13B",11,6,52,3,3,"06",908,"Church Of The Redeemer 5185 Peachtree Dunwoody Rd
Split (SS11A, SS11B, SS11C, SS11D, SS13A, SS13B)",647,58,173,15,60,2,33,3,173,23,1086,101
"SS14",11,6,80,3,3,"05",913,"Ridgeview Middle School 5340 South Trimble Rd
Split (SS12, SS14)",1087,53,28,0,30,0,19,0,168,5,1332,58
"SS15A",6,56,51,2,7,"02",914,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)",656,92,1242,121,160,12,36,13,503,63,2597,301
"SS15B",6,56,51,2,7,"01",915,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)",818,95,394,42,71,5,32,2,312,45,1627,189
"SS16",6,32,52,3,3,"03",902,"Heard Ferry Elementary School 6151 Powers Ferry Rd NW",1674,79,67,0,22,0,32,0,225,12,2020,91
"SS17",6,40,51,1,7,"01",898,"Temple Emanuel 1580 Spalding Dr",2199,148,594,72,120,8,72,5,518,67,3503,300
"SS18A",6,32,52,3,3,"03",902,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)",467,31,25,2,9,2,28,0,94,7,623,42
"SS18B",6,32,52,3,7,"02",916,"Abernathy Arts Center 254 Johnson Ferry Rd
Split (SS05, SS18A, SS18B)",179,10,8,0,6,2,11,0,24,2,228,14
"SS19A",6,56,45,2,7,"02",917,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)",1230,162,1110,164,114,15,83,10,543,73,3080,424
"SS19B",6,56,52,2,7,"02",918,"North Annex 7741 Roswell Rd
Split (SS02A, SS02B, SS19A, SS19B)",987,80,617,69,99,3,63,4,385,55,2151,211
"SS20",6,56,51,2,7,"01",915,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)",933,74,678,63,115,12,84,9,413,52,2223,210
"SS22",6,56,45,2,7,"02",917,"Sandy Springs Middle School 8750 Pride Place
Split (SS15A, SS15B, SS22)",1411,101,649,70,91,4,71,1,459,54,2681,230
"SS26",6,56,51,2,7,"04",919,"Woodland Elem. School 1130 Spalding Dr
Split (SS04, SS20, SS26)",1137,138,1437,224,194,15,97,8,696,126,3561,511
"SS29A",6,32,80,2,3,"04",920,"1st Baptist Ch. Sandy Springs 650 Mt Vernon Hwy",1617,158,402,36,95,3,127,13,421,61,2662,271
"SS31",6,6,52,3,3,"03",903,"Sandy Springs Library
395 Mount Vernon Hwy Ne
Split (SS06, SS31)",1005,46,250,12,31,1,64,3,223,17,1573,79
"UC01A",13,35,65,6,6,"LRG",802,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)",114,11,3246,174,45,2,17,0,553,28,3975,215
"UC01B",13,39,63,6,6,"LRG",923,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)",5,3,345,30,2,0,0,0,55,8,407,41
"UC01D",13,39,65,5,6,"LRG",945,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)",4,0,0,0,0,0,0,0,2,1,6,1
"UC01E",13,39,62,5,6,"LRG",968,"Feldwood Elem School 5790 Feldwood Rd
Split (UC01A, UC01B, UC01D, UC01E)",5,0,334,6,20,0,2,0,60,6,421,12
"UC02A",13,35,65,6,4,"LRG",804,"Etris Community Center 5285 Lakeside Dr
Split (UC02A, UC02B)",303,16,6759,300,205,3,34,0,1181,56,8482,375
"UC02B",13,35,62,6,4,"LRG",805,"Etris Community Center 5285 Lakeside Dr
Split (UC02A, UC02B)",4,0,29,0,0,0,0,0,1,0,34,0
"UC031",13,35,64,6,6,"LRG",806,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)",342,29,1791,118,22,2,16,0,357,33,2528,182
"UC032",13,35,64,6,4,"LRG",807,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)",50,2,267,9,3,0,5,0,41,1,366,12
